,编号,主办单位,标题,内容
0,1,华东政法大学国际法学院,[讲座预告]“明珠之光”国际法学科云讲堂之陈荣传：国际私法新兴问题的研究取向,ZOOM会议号：625 464 19048；    会议密码：734863主题：国际私法新兴问题的研究取向主讲人：陈荣传  台北大学终身荣誉特聘教授主持人：林燕萍  中国国际私法学会副会长、华东政法大学国际法学院教授时间：2020年12月22日（星期二）14:00—16:00主办方： 华东政法大学国际法学院 国际法研究中心主讲人简介：现任台北大学终身荣誉特聘教授、国际比较法学会(IACL)合作会员、仲裁人（中华仲裁协会、北京仲裁委员会）、国际私法研究会(台湾)副会长、台湾法曹协会秘书长；曾任涉外民事法律适用法（司法院）、信托法（信托业商业同业公会）研修小组召集人，负责草拟修正条文；着有《国际私法论》（合着）、《民法概要》（合着）、《法律行为》、《民法物权实用要义》、《国际私法实用-涉外民事案例研析》等书及中英文论文约200篇。
1,2,华东政法大学国际法学院,[讲座预告]“明珠之光”国际法学科云讲堂之周天平：做一个成功律师的五大职业素养,主题：《做一个成功律师的五大职业素养》主讲人：周天平  上海市周天平律师事务所主任律师，上海市政协委员（第十二届）、上海市律师协会副会长（第九、十届）、上海中青年知识分子联谊会副会长（第六届），上海市国际仲裁中心仲裁员、上海市仲裁委员会仲裁员、上海市行政复议委员会委员。主持人：林燕萍  华东政法大学国际法学院教授时间：2020年12月18日（星期五）14:00-16:00地点：华东政法大学长宁校区韬奋楼116主办方：华东政法大学国际法学院国际法研究中心
2,3,华东政法大学国际法学院,[讲座预告]“明珠之光”国际法学科云讲堂之宋连斌：全面扩大开放视域下我国仲裁法完善的途径,ZOOM会议号：625 463 90023；会议密码：386009主题：全面扩大开放视域下我国仲裁法完善的途径主讲人：宋连斌  中国政法大学教授，博士生导师主持人：李  晶  华东政法大学国际法学院副教授 时间：2020年12月7日（星期一）18:00-21:00主办方：华东政法大学国际法学院国际法研究中心 主讲人简介：宋连斌教授，法学博士，现任中国政法大学教授、博士生导师。中国国际私法学会常务理事、副秘书长、香港国际仲裁中心、新加坡国际仲裁中心、中华仲裁协会国际中心、吉隆坡亚洲国际仲裁中心、中国国际经济贸易仲裁委员会、中国海事仲裁委员会、北京、深圳、上海等多家仲裁机构仲裁员。长期从事国际私法、仲裁法研究及仲裁实务，主要著、译作有《国际商事仲裁管辖权研究》、《中国仲裁员制度改革初探》、《中国国际私法实践困境及出路》等。
3,4,华东政法大学国际法学院,[讲座预告]邱一川：上海改革开放新时代新任务的法治思考,主  题：上海改革开放新时代新任务的法治思考主讲人：邱一川（法学博士、上海申迪（集团）有限公司总监、上海迪士尼项目合作企业党委书记兼副总经理）主持人：张磊（华东政法大学国际法学院副院长、教授）时  间：12月9日（星期三）18:00-19:30地  点：华东政法大学松江校区杨咏曼楼A201主办方： 华东政法大学国际法学院          华东政法大学国际法研究中心主讲人介绍：现任上海申迪（集团）有限公司总监、上海迪士尼项目合作企业党委书记兼副总经理等职。2000年至2003年在上海浦东新区人民政府工作，2003年至2011年全程参与上海世博会筹备和举办工作，曾任上海世博局法律事务部副部长兼知识产权管理办公室主任等职。2011年加入上海申迪（集团）有限公司工作至今。国家知识产权局知识产权专家库首批入选专家，现兼任WTO上海研究中心副秘书长，上海法学会国际法研究会/知识产权研究法常务理事、浦东新区知识产权协会副会长、浦东新区青联常务理事兼文体界别主任委员、复旦大学知识产权研究中心特邀研究员等职，并受聘担任上海国际经济贸易仲裁委员会等多家仲裁机构仲裁员。2009获“第四届上海市优秀中青年法学家提名奖”。2010年***上海市委和上海市人民政府给予记一等功奖励，并被国家知识产权局等八部委评为“世博会知识产权保护先进个人”。2016年获上海市“五一”劳动奖章称号。2018年被浦东新区知识产权协会评为成立十周年“知识产权工作十大杰出个人”。
4,5,华东政法大学国际法学院,[讲座预告]“明珠之光”国际法学科系列讲座之河北大学宋阳教授：境外文献检索与阅读,主  题：境外文献检索与阅读主讲人：宋 阳  河北大学法学院研究员、硕士生导师，法学博士主持人：韩逸畴  华东政法大学国际法学院副教授时  间：11月16日（星期一）14:00-16:00地  点：华东政法大学长宁校区韬奋楼115主办方： 华东政法大学国际法学院          华东政法大学国际法研究中心 主讲人介绍：宋阳，河北大学法学院研究员、硕士生导师，南开大学国际经济法学博士。中国法学会国际法学会理事、河北省国际法学会常务理事、副秘书长。河北省高校青年拔尖人才项目获得者、河北大学坤舆青年学者第一层次人选。主持国家课题2项、省部级课题2项，出版学术专著2部，发表学术论文30余篇。其中在CSSCI来源期刊发表论文19篇，含中国法学会推荐的CLSCI期刊6篇。共参与国家社科基金重点项目2项，司法部课题2项，教育部科研课题1项，河北省软科学题1项， 商务部重点课题2项，河北省社科基金3项。 
5,6,华东政法大学国际法学院,[讲座预告]“明珠之光”国际法学科云讲堂之陈磊教授讲座,"ZOOM会议号：637 122 90697；        会议密码：355254主题：合同违约的补救方式和经济可持续性：以中国民法典，CISG,和德国，法国民法展开主讲人：陈  磊，英国杜伦大学法学院中国法讲席教授主持人：许凯  华东政法大学国际法学院副教授时间：2020年11月12日（星期四）17:00—19:00主办方： 华东政法大学国际法学院 国际法研究中心欧盟法研究中心 主讲人介绍：陈磊教授，香港城市大学兼职教授。华东政法大学东方学者讲座教授。中南财经政法大学文澜学者讲座教授，比利时鲁汶大学和新加坡国立大学法学院访问教授。陈磊教授是国际比较法学院当选会员，欧洲法律学院高级会员，欧洲比较法制史协会会员，中国民法学研究会理事，中国比较法学研究会理事。陈磊发表英文学术书籍（独著和编纂）七本，期刊杂志和书章四十余篇。作为主申请人获得三次香港政府研究基金GRF，目前担任香港研发局大学法学学科评估委员会委员。其主要著作包括：《面向中国民法典 》(英文，BRILL), 2012年版; 《中国合同法》剑桥大学出版社2017年出版；《中国公寓所有权法的制定》（英文,Intersentia）,2010年版;《中欧合同法比较》, (英文，Routledge) 2014年版；《中国财产法》(英文，Kluwer), 2014年版，《比较消费者买卖法》（Palgrave,2017）。他是中国国际经济贸易仲裁委员会, 北京仲裁委，深圳国际仲裁院，上海国际仲裁中心，香港国际仲裁中心 (HKIAC), 吉隆坡亚洲国际仲裁中心AIAC，迪拜国际仲裁中心，台湾中华仲裁协会，泰国国际仲裁中心，韩国商事仲裁协会，广州仲裁委, 海南，重庆，青岛，南京，宁波，珠海，郑州，佛山，廊坊，烟台，威海等仲裁机构在册仲裁员。香港仲裁司学会 Fellow (FHKIArb)。陈磊教授有大量国际商事仲裁仲裁员和中国法专家证人的经验，在新加坡国家仲裁中心，新加坡高等法院，香港高等法院，香港国际仲裁中心，伦敦商事法院，ICC, PCA, 和伦敦国际仲裁中心从事仲裁和专家证人。 "
6,7,华东政法大学国际法学院,【LIGHT UP讲座】来听朱榄叶教授讲国际法人的信念与信仰！,[]
7,8,华东政法大学国际法学院,讲座预告：“明珠之光”国际法学科云讲堂——Labin教授：北极能源开发的法律制度,"ZOOM会议号：692 043 00381；会议密码：962395主题：北极能源开发的法律制度Legal Regime of Energy Production in the Arctic主讲人：Dmitry K. Labin教授  莫斯科大学教授主持人：黄炎    国际法学院讲师、法学博士时间：2020年10月26日（星期一）18:00—20:00主办方：  华东政法大学国际法学院 国际法研究中心欧盟法研究中心 主讲人介绍：        Dmitry K. Labin is a Professor of International Law at the International Law Department, Moscow State Institute of International Relations attached to the Ministry of Foreign Affairs (MGIMO-University, Russia), and a member of editorial board of the Moscow Journal of International Law. Professor Labin was awarded a degree of a Doctor of the Science of Law (LL.D) by the Russian Academy of Sciences for his post-Ph.D. doctorate dissertation on “The International Law on World Economic Order”, prior to that he defended his candidate research thesis (Ph.D.) at the Institute of State and Law attached to the Russian Academy of Sciences. He has a Diploma from The Hague Academy of International Law (Research Centre).He was a visiting fellow (2013-2016) at the University of Central Lancashire (UK) - UCLAN Cyprus with the intensive module on the International Investment and WTO Law. Professor Labin is the author of many articles published inter alia in the American Journal of International Law and the European Journal of International Law and several books including The International Law on Encouraging and Protecting Foreign Investments (Walters Kluwer, 2008, second edition published in 2019). Professor Labin is a co-author of a number of textbooks on International Law, 2015, International Economic Law, 2012, International European Law, 2005."
8,9,华东政法大学国际法学院,讲座预告：“明珠之光”国际法学科云讲堂——陈磊：国际商事仲裁的司法审查," ZOOM会议号：654 698 26245；   会议密码：832233主题：国际商事仲裁的司法审查主讲人：陈  磊  英国杜伦大学法学院中国法讲席教授主持人：李伟芳  华东政法大学国际法学院院长、教授时间：2020年10月21日（星期三）16:00—18:00主办方： 华东政法大学国际法学院 国际法研究中心欧盟法研究中心 主讲人介绍：陈磊教授，香港城市大学兼职教授。华东政法大学东方学者讲座教授。中南财经政法大学文澜学者讲座教授，比利时鲁汶大学和新加坡国立大学法学院访问教授。陈磊教授是国际比较法学院当选会员，欧洲法律学院高级会员，欧洲比较法制史协会会员，中国民法学研究会理事，中国比较法学研究会理事。陈磊发表英文学术书籍（独著和编纂）七本，期刊杂志和书章四十余篇。作为主申请人获得三次香港政府研究基金GRF，目前担任香港研发局大学法学学科评估委员会委员。其主要著作包括：《面向中国民法典 》(英文，BRILL), 2012年版; 《中国合同法》剑桥大学出版社2017年出版；《中国公寓所有权法的制定》（英文,Intersentia）,2010年版;《中欧合同法比较》, (英文，Routledge) 2014年版；《中国财产法》(英文，Kluwer), 2014年版，《比较消费者买卖法》（Palgrave,2017）。他是中国国际经济贸易仲裁委员会, 北京仲裁委，深圳国际仲裁院，上海国际仲裁中心，香港国际仲裁中心 (HKIAC), 吉隆坡亚洲国际仲裁中心AIAC，迪拜国际仲裁中心，台湾中华仲裁协会，泰国国际仲裁中心，韩国商事仲裁协会，广州仲裁委, 海南，重庆，青岛，南京，宁波，珠海，郑州，佛山，廊坊，烟台，威海等仲裁机构在册仲裁员。香港仲裁司学会 Fellow (FHKIArb)。陈磊教授有大量国际商事仲裁仲裁员和中国法专家证人的经验，在新加坡国家仲裁中心，新加坡高等法院，香港高等法院，香港国际仲裁中心，伦敦商事法院，ICC, PCA, 和伦敦国际仲裁中心从事仲裁和专家证人。"
9,10,华东政法大学国际法学院,“明珠之光”国际法学科云讲堂（9月28日、29日）预告, 主题（一）：体育、奥运会中的兴奋剂操纵等伦理问题腾讯会议号：549 379 592；会议密码：25789一键会议链接：https://meeting.tencent.com/s/qaWvrhejppWE 主题（二）：体育仲裁与体育领域的争端解决腾讯会议号：608 717 535；会议密码：25789一键会议链接：https://meeting.tencent.com/s/ERVHz2WQV3fs 主讲人：许顺光教授，是总部位于洛桑的国际体育仲裁庭（CAS）认可的仲裁员，同时也是总部位于摩纳哥的国际田联任命的纪律审裁庭成员。作为一名体育律师，许教授参与了与冬奥会、足球、板球和田径相关的事务，并拥有在新加坡、加拿大和英国的体育法领域执业资格，定期在亚洲大学讲授体育法的主要问题。除了体育仲裁，许教授还涉足公司法的理论和实践，著有《公司法主要问题（第四版）》，该书是从中英法律比较研究的角度开展论述的，得到了英国最高法院院长Lord Philips和王利明教授等国内外知名法官、学者的支持，目前正在组建研究小组进行第五版的修订和出版工作。主持人：主题一：袁发强  华东政法大学国际法学院教授主题二：李  晶  华东政法大学国际法学院副教授时间：主题一：2020年9月28日（星期一）晚18:30—20:30主题二：2020年9月29日（星期二）晚18:30—20:30主办方： 华东政法大学国际法学院 国际法研究中心
