,编号,主办单位,标题,公告日期
0,1,上海大学法学院,泮池法学论坛第68期：从微信读书案谈谈个人信息保护的救济,2021-01-09
1,2,上海大学法学院,泮池法学论坛第67期：转基因农产品安全及其法律问题,2021-01-08
2,3,上海大学法学院,泮池法学论坛第66期：作品法律构成中的几个重大争议问题,2020-11-07
3,4,上海大学法学院,泮池法学论坛第65期:简论新时代检察官的职业道德伦理,2020-11-05
4,5,上海大学法学院,泮池法学论坛第64期:中国特色社会主义法治前沿问题,2020-11-03
5,6,上海大学法学院,泮池法学论坛第62期预告：新《证券法》修订要点及对资本市场的影响,2020-09-18
6,7,上海大学法学院,泮池法学论坛第61期预告：保险法上如实告知义务的技术解决方案,2020-09-09
7,8,上海大学法学院,泮池法学论坛第59期预告：犯罪客观要件符合性判断,2020-01-01
8,9,上海大学法学院,泮池法学论坛第58期预告：环境公益诉讼的中国模式,2019-12-23
9,10,上海大学法学院,泮池法学论坛第57期预告：划分平台责任的边界——一条法经济学思路,2019-12-20
10,11,上海大学法学院,泮池法学论坛第56期预告：信托受托人的义务及权限,2019-12-20
11,12,上海大学法学院,泮池法学论坛第55期预告：运用法律装置寻求事实真相——交叉询问理论及...,2019-12-20
12,13,上海大学法学院,泮池法学论坛第54期预告：艺术法的概念、应用与展望,2019-12-18
13,14,上海大学法学院,泮池法学论坛第53期预告：全面依法治国与文化立法,2019-12-18
14,15,上海大学法学院,泮池法学论坛第52期预告：律师的金融与并购业务,2019-12-16
